"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"PUBLICZNA SZKO?A PODSTAWOWA NR 2 IM. KAZIMIERZA MALCZEWSKIEGO W STRZELCACH OPOLSKICH","UL. WAWRZY?CA ?WIERZEGO","47-100","STRZELCE OPOLSKIE","18.314889","50.503431","48.333333333333336","1042.3666666666666","16.066666666666666","1.0","0.5533333333333333","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA NR 2 IM. BOLES?AWA CHROBREGO W MIASTKU","KUJAWSKA","77-200","MIASTKO","16.97385","53.99424","94.40000000000002","1015.89","7.64","15.39","8.33","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA IM. POLSKICH ODKRYWC?W I PODR??NIK?W W KOBIERZYCACH","PARKOWA","55-040","KOBIERZYCE","16.933169","50.971851","31.53333333333333","997.6333333333333","20.166666666666668","5.266666666666667","2.8066666666666666","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA IM. UNICEF W BIELANACH WROC?AWSKICH","AKACJOWA","55-040","BIELANY WROC?AWSKIE","16.971022","51.038120","18.400000000000002","1013.9666666666667","16.666666666666668","6.3","3.233333333333333","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA IM. JANUSZA KORCZAKA W WYSOKIEJ","CHABROWA","52-200","WYSOKA","17.007729","51.047504","99.90000000000002","1007.5666666666666","17.633333333333336","9.166666666666666","5.723333333333334","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA IM. ROMUALDA TRAUGUTTA W PUSTKOWIE ?URAWSKIM","KOLEJOWA","55-040","PUSTK?W ?URAWSKI","16.859465","50.958878","99.90000000000002","1007.0666666666666","18.033333333333335","18.866666666666667","10.686666666666667","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA IM. ABP. ANTONIEGO JULIANA NOWOWIEJSKIEGO W S?UPNIE","KO?CIELNA","09-472","S?UPNO","19.84527","52.5041","82.51","1015.35","6.61","71.98","43.72","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA NR 1 IM. MARII KONOPNICKIEJ W ZESPOLE SZK?? OG?LNOKSZTA?C?CYCH NR 1 IM. MARII KONOPNICKIEJ W PRUSZCZU GDA?SKIM","NIEMCEWICZA","83-000","PRUSZCZ GDA?SKI","18.650575","54.261512","31.333333333333332","1035.1666666666667","16.866666666666667","0.8333333333333334","0.5333333333333333","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA NR 2 IM. MIKO?AJA KOPERNIKA W PRUSZCZU GDA?SKIM","TYSI?CLECIA","83-000","PRUSZCZ GDA?SKI","18.628278","54.260787","33.825","1028.2","16.6","0.8500000000000001","0.47250000000000003","2025-04-28 13:00:00.0"
"SZKO?A PODSTAWOWA NR 3 IM. JANA MATEJKI W PRUSZCZU GDA?SKIM","MATEJKI","83-000","PRUSZCZ GDA?SKI","18.636981","54.255547","21.566666666666666","1029.6333333333332","24.166666666666668","1.0666666666666667","0.6366666666666666","2025-04-28 13:00:00.0"
